"Codigo","mun","Ano","Mes","Prectotalmes","spi1","spi3","spi6","spi9","spi12","spi15","spi18","spi21","spi24"
3545209,"SALTO",1998,3,173.653043988345,0.965945193215018,0.4082918890862,0.487519662208313,0.362059864380568,0.670294717754401,0.393640571091115,0.339299586267189,0.218843829998585,-0.152166624395592
3545209,"SALTO",1998,4,71.6592498559015,0.440422316276268,0.808492340470721,0.792897427652458,0.506845437759247,0.701808810734223,0.220602622325494,0.150394131506672,0.36169381414881,0.0211258874134938
3545209,"SALTO",1998,5,100.989600636405,0.983348857328506,1.18515123300053,0.495621505771129,0.737183776827141,0.848013517303399,0.592905396777221,0.323331965368111,0.512103082233896,0.301224307298432
3545209,"SALTO",1998,6,17.6779486953929,-0.198852332039847,0.359957652126092,0.429891885939612,0.481280021607208,0.380746360335867,0.643341698952973,0.409941337867743,0.356666582586464,0.24744573484145
3545209,"SALTO",1998,7,7.63941919239463,-0.532304328106718,-0.0708439351290432,0.465166976155494,0.55700178286297,0.339088896808516,0.544355227685821,0.132691537215877,0.0745289846732009,0.263859478647191
3545209,"SALTO",1998,8,23.0423717097233,0.426757157337615,-1.01649177214069,0.360930652727694,0.106122124622221,0.372337808175285,0.520901094061627,0.324434722407848,0.102482145140707,0.274088694907946
3545209,"SALTO",1998,9,81.3525764847281,0.61364602831764,-0.0253657716647774,0.125949092623198,0.289187486258097,0.364098027790015,0.278833012017941,0.54120358033041,0.363699639707846,0.279353742737078
3545209,"SALTO",1998,10,139.324568929333,0.603740857524922,0.625484162927413,0.265823129570463,0.597080200351605,0.658340875930439,0.471448316143735,0.65030009049014,0.241726968512607,0.190135941931136
3545209,"SALTO",1998,11,42.4481266035543,-1.55280220171751,-0.241009477045253,-0.753427581046762,0.0912152161455765,-0.0358038054644137,0.222355775691118,0.385840420741509,0.209740161417332,0.0193114883878887
3545209,"SALTO",1998,12,307.447374731406,1.54576488254052,0.723869459225777,0.467665387481398,0.456229685752015,0.515266337842836,0.569329437803861,0.493627754780333,0.706834689843954,0.504132899544593
3545209,"SALTO",1999,1,309.161178368167,1.20860606521177,1.08463289046053,1.10723524958733,0.810004050402449,0.921337618686078,0.914372906917391,0.809561750185859,0.9289973316808,0.565493669124856
3545209,"SALTO",1999,2,182.674563991801,0.511962534445505,1.56757163914857,1.1937327271059,0.760942659318472,1.01556457903232,0.741751529728644,1.03630698431151,1.07054797578737,0.866454565180509
3545209,"SALTO",1999,3,80.7804360244379,-0.537376617722176,0.74584016433529,0.933196915542009,0.759285101551264,0.711154371299667,0.731380292230402,0.796032826790578,0.727666519785788,0.914844098396474
