TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude
1,84030000,PCH ANGELINA JUSANTE,,-27.4167,-48.9544
1,60775000,PCH PONTE DE PEDRA JUSANTE I,,-17.1886,-50.8094
1,60775500,PCH PONTE DE PEDRA JUSANTE 2,,-17.2361,-50.7361
1,60794000,PCH YPÊ JUSANTE,,-17.7433,-50.4536
1,84530000,PCH NOVA FÁTIMA BARRAMENTO,,-28.0414,-49.1283
1,70305000,UHE BARRA GRANDE FAZENDA MINEIRA,,-28.0894,-50.0614
1,84531000,PCH NOVA FÁTIMA JUSANTE,,-28.0492,-49.13
1,58495000,PCH CACHOEIRA DO BRUMADO BARRAMENTO,,-21.8508,-43.8897
1,58497000,PCH CACHOEIRA DO BRUMADO JUSANTE,,-21.8528,-43.8886
1,57415000,PCH FRANCISCO GROSS ITAOQUENA,,-20.4578,-41.6753
1,57430000,PCH FRANCISCO GROSS MONTANTE,,-20.6739,-41.5208
1,15276000,EXTREMA,,-11.4594,-69.2425
1,15277000,PUERTO RICO,,-11.1072,-67.5594
1,15280000,SENA,,-11.4667,-67.25
1,15274000,ANGOSTO DEL BALA,,-14.5236,-67.4947
1,15290000,PEÑA AMARILLA,,-11.55,-66.6667
1,57435000,PCH FRANCISCO GROSS JUSANTE,,-20.715,-41.5056
1,15239000,SAN BORJA,,-14.8583,-66.7444
1,15235000,PUERTO  VARADOR,,-14.8806,-64.9992
1,57410000,PCH SÃO SIMÃO MONTANTE 1,,-20.5861,-41.4969
1,15238000,PUERTO ALMACÉN,,-14.8794,-65.0136
1,57413000,PCH SÃO SIMÃO JUSANTE,,-20.6464,-41.4764
1,15234000,LOS PUENTES,,-14.8842,-65.0408
1,15233000,CAMIACO,,-15.3394,-64.8572
1,73440000,UHE ALZIR DOS SANTOS ANTUNES NONOAI,,-27.4822,-52.7794
1,73445000,UHE ALZIR DOS SANTOS ANTUNES CRUZALTENSE,,-27.6694,-52.5842
1,73460000,UHE ALZIR DOS SANTOS ANTUNES ENTRE RIOS,,-27.4856,-52.695
1,37180400,ESTUÁRIO DO RIO DAS CONCHAS,,-5.1067,-36.6658
1,73490000,UHE ALZIR DOS SANTOS ANTUNES BARRAMENTO,,-27.3456,-52.7319
1,73693500,PCH SANTA LAURA JUSANTE,,-26.7611,-52.3378
1,61903000,PCH SÃO VALENTIM JUSANTE,,-21.7447,-47.4222
1,62061000,CGH SALESÓPOLIS JUSANTE,,-23.5642,-45.8381
1,62750800,PCH JACARÉ JUSANTE,,-22.4133,-48.0294
1,62708800,PCH CORUMBATAÍ JUSANTE,,-22.4933,-47.595
1,62708100,PCH CORUMBATAÍ MONTANTE,,-22.4117,-47.5997
1,62708500,PCH CORUMBATAÍ BARRAMENTO,,-22.4808,-47.5897
1,10010000,PATATE DJ AMBATO,H-817,-1.25,-78.51
1,27540000,CHÁCARA VILA RICA,,-7.8444,-50.045
1,29070100,PARAUAPEBAS,,-6.0914,-49.9044
1,58847500,PCH CAJU JUSANTE,,-21.8978,-42.0469
1,83370000,PCH MAFRÁS JOSÉ BOITEUX,,-26.9889,-49.6169
1,77519000,PUERTO CENTRAL,"86,0",-30.3833,-56.5
